publishedAt,clean_title,neg,neu,pos,compound,predicted_label,date
2021-02-07 11:13:13,Bitcoin rally incoming MicroStrategy Playbook Seminar a Smash Hit,0.0,0.304,0.696,0.9682,pos,2021-02-07
2021-02-06 18:13:13,Bitcoin breaks 40 000 and sets its sights on a new all time high ETH fees spike as a new price,0.0,0.529,0.471,0.9682,pos,2021-02-06
2021-02-06 18:13:13,Why DeFi blue chips SUSHI and AAVE severely pulled back after Bitcoin rally CryptoSlate,0.097,0.387,0.516,0.9584,pos,2021-02-06
2021-02-07 14:13:13,German Fraudster Refuses to Give Police Passwords to 60M Bitcoin Wallet,0.259,0.741,0.0,-0.5423,neg,2021-02-07
2021-02-06 21:13:13,Bitcoin Tops 40k Mark Ether At All Time High Amid Crypto Markets Boom,0.0,0.363,0.637,0.9758,pos,2021-02-06
2021-02-06 21:13:13,Bitcoin Tops 40k Mark Ether At All Time High Amid Crypto Markets Boom,0.0,0.363,0.637,0.9758,pos,2021-02-06
2021-02-06 18:13:13,Combined value of digital coins tops 1 2trn as Bitcoin hits 40 000 again,0.0,0.659,0.341,0.6908,pos,2021-02-06
2021-02-06 18:13:13,Combined value of digital coins tops 1 2trn as Bitcoin hits 40 000 again,0.0,0.659,0.341,0.6908,pos,2021-02-06
2021-02-07 09:13:13,Bitcoin rally takes market cap of over 6 000 cryptocurrencies to whopping new high of 1 24 trillion,0.0,0.304,0.696,0.9918,pos,2021-02-07
2021-02-07 05:13:13,EOS Climbs 10 08 In Bullish Trade,0.0,0.105,0.895,0.997,pos,2021-02-07
2021-02-07 05:13:13,EOS Climbs 10 08 In Bullish Trade By Investing com,0.0,0.15,0.85,0.997,pos,2021-02-07
2021-02-07 16:49:13,Serbian Man Extradited to US After Being Indicted In 70 Million Crypto Fraud CoinDesk,0.226,0.774,0.0,-0.5859,neg,2021-02-07
2021-02-07 05:13:13,EOS Climbs 10 In Rally By Investing com,0.0,0.304,0.696,0.9682,pos,2021-02-07
2021-02-07 05:13:13,Beyond Doge Coin What Crypto s Are Worth Buying Besides Bitcoin,0.0,0.383,0.617,0.9423,pos,2021-02-07
2021-02-07 02:13:13,Success of digital financial services rests on rural India s shift from cash to digital payments,0.0,0.791,0.209,0.5719,pos,2021-02-07
2021-02-07 10:13:13,Dogecoin s price jumped as high as 35 after Elon Musk tweeted Dogecoin to the Moooonn in a,0.0,0.484,0.516,0.9682,pos,2021-02-07
2021-02-07 05:13:13,Cardano Climbs 19 82 In Rally,0.0,0.238,0.762,0.9682,pos,2021-02-07
2021-02-07 05:13:13,Cardano Climbs 19 82 In Rally By Investing com,0.0,0.333,0.667,0.9682,pos,2021-02-07
2021-02-07 05:13:13,Cardano Climbs 19 82 In Rally By Investing com,0.0,0.333,0.667,0.9682,pos,2021-02-07
2021-02-07 05:13:13,Ethereum Falls 10 In Selloff By Investing com,0.966,0.034,0.0,-0.9997,neg,2021-02-07
2021-02-07 05:13:13,Precious Metals Energy Weekly Review and Calendar Ahead,0.0,0.508,0.492,0.7003,pos,2021-02-07
2021-02-07 05:13:13,Precious Metals Energy Weekly Review and Calendar Ahead,0.0,0.508,0.492,0.7003,pos,2021-02-07
2021-02-07 05:13:13,Precious Metals Energy Weekly Review and Calendar Ahead,0.0,0.508,0.492,0.7003,pos,2021-02-07
2021-02-07 05:13:13,Precious Metals Energy Weekly Review and Calendar Ahead By Investing com,0.0,0.608,0.392,0.7003,pos,2021-02-07
2021-02-07 05:13:13,Precious Metals Energy Weekly Review and Calendar Ahead By Investing com,0.0,0.608,0.392,0.7003,pos,2021-02-07
2021-02-07 09:13:13,Janet Yellen Re Cryptocurrencies and Terrorists,0.451,0.549,0.0,-0.6249,neg,2021-02-07
2021-02-06 00:10:08,Twitter CEO Jack Dorsey is setting up a bitcoin node CNET,0.0,0.6,0.4,0.7906,pos,2021-02-06
2021-02-06 09:52:27,God Of Dogecoin It s Not Just Tesla CEO Elon Musk Pumping The Joke Bitcoin Rival s Price,0.0,0.765,0.235,0.5106,pos,2021-02-06
2021-02-06 14:51:05,Bill Miller Run 2 25B Fund May Buy GBTC to Gain Bitcoin Exposure of Up to 15,0.0,0.341,0.659,0.9882,pos,2021-02-06
2021-02-06 17:35:17,Serbian Man Extradited to US After Being Indicted In 70 Million Crypto Fraud,0.241,0.759,0.0,-0.5859,neg,2021-02-06
2021-02-06 21:25:24,Bitcoin Tops 40k Mark Ether At All Time High Amid Crypto Markets Boom,0.0,0.363,0.637,0.9758,pos,2021-02-06
2021-02-07 08:34:20,Green hackers around the world let s destroy Bitcoin,0.333,0.667,0.0,-0.5423,neg,2021-02-07
2021-02-07 10:05:04,Dogecoin s price jumped as high as 35 after Elon Musk tweeted Dogecoin to the Moooonn in a Twitter poll on the future of crypto,0.0,0.579,0.421,0.9682,pos,2021-02-07
2021-02-07 14:09:00,Beyond Doge Coin What Crypto s Are Worth Buying Besides Bitcoin,0.0,0.383,0.617,0.9423,pos,2021-02-07
2021-02-07 15:33:20,Forbes Blockchain 50 Meet The Bitcoin Lovers In Corporate America,0.0,0.726,0.274,0.5267,pos,2021-02-07
