publishedAt,clean_title,neg,neu,pos,compound,predicted_label,date
2021-02-08 16:14:16,Bitcoin price soars How much 100 would be worth today if you had invested earlier,0.0,0.151,0.849,0.9985,pos,2021-02-08
2021-02-09 07:14:16,Bitcoin Tops 48 000 for the First Time After Tesla s Purchase,0.0,0.752,0.248,0.5106,pos,2021-02-09
2021-02-09 09:37:16,Bitcoin price hits new all time high taking market cap value above Facebook and Tesla,0.0,0.414,0.586,0.9732,pos,2021-02-09
2021-02-08 19:14:16,Bitcoin surges to record high as Tesla announces it has invested 1 5bn and will take it as payment,0.0,0.515,0.485,0.9682,pos,2021-02-08
2021-02-09 08:14:16,Bitcoin powers to new high as Tesla takes it mainstream,0.0,0.36,0.64,0.9682,pos,2021-02-09
2021-02-09 02:14:16,Tesla s Musk drives up bitcoin price with 1 5bn purchase,0.0,0.571,0.429,0.7906,pos,2021-02-09
2021-02-08 21:14:16,Bitcoin Skyrockets to a New All Time High After Tesla Invests 1 5 Billion in the Popular,0.0,0.39,0.61,0.9744,pos,2021-02-08
2021-02-08 23:14:16,Bitcoin Tops 47K After Tearing Through 45K 46K in Tesla Fueled Rise CoinDesk,0.0,0.312,0.688,0.9853,pos,2021-02-08
2021-02-08 14:14:16,Bitcoin Jumps 10 to Record High on Tesla Investment News,0.0,0.107,0.893,0.9982,pos,2021-02-08
2021-02-08 12:14:16,BREAKING Bitcoin pushes past 48 000 to new record high,0.0,0.36,0.64,0.9682,pos,2021-02-08
2021-02-08 17:14:16,Bitcoin Price Predictions Where Will BTC Go After Tesla Fueled Rally,0.0,0.385,0.615,0.9682,pos,2021-02-08
2021-02-09 09:14:16,Bitcoin price soars to 47 400 after large Tesla purchase,0.0,0.113,0.887,0.9985,pos,2021-02-09
2021-02-08 13:14:16,Bitcoin Hits New Record High Over 43K on Tesla News,0.0,0.36,0.64,0.9682,pos,2021-02-08
2021-02-09 07:14:16,Bitcoin reaches a new record high how high can it go,0.0,0.174,0.826,0.9919,pos,2021-02-09
2021-02-08 23:14:16,Bitcoin price hits 46 794 as altcoins stocks rally to new highs,0.0,0.407,0.593,0.9682,pos,2021-02-08
2021-02-08 15:14:16,Bitcoin soars to all time high as Musk s Tesla says it bought 1 5 billion,0.0,0.112,0.888,0.999,pos,2021-02-08
2021-02-08 21:14:16,Bitcoin surges to all time high as Tesla invests 1 5B,0.0,0.36,0.64,0.9682,pos,2021-02-08
2021-02-08 20:14:16,Bitcoin jumps to record 44 000 as Tesla invests 1 5 billion,0.0,0.15,0.85,0.997,pos,2021-02-08
2021-02-08 17:14:16,Bitcoin jumps to record high after Tesla invests 1 5B accepts cryptocurrency,0.0,0.103,0.897,0.9983,pos,2021-02-08
2021-02-08 14:14:16,Bitcoin Price Alert Tesla s 1 5B Purchase and Payment Promise Send the Crypto Soaring,0.0,0.117,0.883,0.9986,pos,2021-02-08
2021-02-09 04:14:16,Bitcoin May Have Shot Past 47 000 But Tesla Euphoria Has Hit Smaller Altcoins Even Harder,0.0,0.777,0.223,0.6486,pos,2021-02-09
2021-02-09 06:14:16,Bitcoin soars Tesla doesn t,0.0,0.041,0.959,0.9985,pos,2021-02-09
2021-02-08 13:14:16,Bitcoin Soars After Elon Musk Says Tesla Invested 1 5billion in BTC,0.0,0.123,0.877,0.9985,pos,2021-02-08
2021-02-08 11:14:16,Bitcoin Gets Support From Mexico s Third Richest Person Billionaire Follows Elon Musk s Move,0.0,0.643,0.357,0.7269,pos,2021-02-08
2021-02-09 05:14:16,Bitcoin briefly exceeds 47 000 record stocks and oil also rise,0.0,0.323,0.677,0.9818,pos,2021-02-09
2021-02-08 13:14:16,Bitcoin hits 43K all time high as Tesla invests 1 5 billion in BTC,0.0,0.407,0.593,0.9682,pos,2021-02-08
2021-02-08 16:14:16,Bitcoin jumps to record 44 000 as Tesla invests 1 5 billion,0.0,0.15,0.85,0.997,pos,2021-02-08
2021-02-09 01:14:16,Bitcoin extends gains above 47 000 in Asia,0.0,0.211,0.789,0.9826,pos,2021-02-09
2021-02-09 08:14:16,Before the Bell Bitcoin goes through the roof as positive investor sentiment persists,0.0,0.769,0.231,0.5574,pos,2021-02-09
2021-02-08 23:14:16,Bitcoin Tops 47K After Tearing Through 45K 46K in Tesla Fueled Rise,0.0,0.292,0.708,0.9853,pos,2021-02-08
2021-02-08 21:14:16,Bitcoin Skyrockets to a New All Time High After Tesla Invests 1 5 Billion in the Popular,0.0,0.39,0.61,0.9744,pos,2021-02-08
2021-02-08 22:14:16,Bitcoin Better Than Cash for Shareholder Value Says MicroStrategy s Saylor,0.0,0.602,0.398,0.6486,pos,2021-02-08
2021-02-09 06:14:16,Bitcoin tops 48 000 for first time after Elon Musk bet live updates,0.0,0.784,0.216,0.5106,pos,2021-02-09
2021-02-08 14:14:16,Bitcoin retests 40 000 as active addresses hit new all time high,0.0,0.348,0.652,0.9741,pos,2021-02-08
2021-02-09 01:14:16,Bitcoin extends gains above 47 000 in Asia,0.0,0.211,0.789,0.9826,pos,2021-02-09
2021-02-08 17:14:16,Bitcoin soars to all time high as Musk s Tesla says it bought 1 5 billion,0.0,0.112,0.888,0.999,pos,2021-02-08
2021-02-08 15:14:16,Bitcoin reaches all time high after Tesla discloses 1 5 billion purchase,0.0,0.317,0.683,0.969,pos,2021-02-08
2021-02-08 13:14:16,Bitcoin spikes 13 to record high after Tesla says it invested 1 5 billion in the cryptocurrency,0.0,0.467,0.533,0.9682,pos,2021-02-08
2021-02-09 01:14:16,Bitcoin extends gains above 47 000 in Asia,0.0,0.211,0.789,0.9826,pos,2021-02-09
2021-02-08 14:14:16,Bitcoin jumps 10 to record high on Tesla investment news,0.0,0.107,0.893,0.9982,pos,2021-02-08
2021-02-08 18:14:16,Bitcoin reaches all time high of 44 000 following Tesla s 1 5 billion investment,0.0,0.368,0.632,0.969,pos,2021-02-08
2021-02-08 15:14:16,Bitcoin reaches all time high after Tesla discloses 1 5 billion purchase,0.0,0.317,0.683,0.969,pos,2021-02-08
2021-02-09 00:14:16,Bitcoin extends gains above 47 000 in Asia,0.0,0.211,0.789,0.9826,pos,2021-02-09
2021-02-08 13:14:16,Bitcoin jumps 10 to record high on Tesla investment news,0.0,0.107,0.893,0.9982,pos,2021-02-08
2021-02-08 17:14:16,Bitcoin Price Soars 10 After Tesla TSLA Says it Bought 1 5B in a Significant Strategic Move,0.0,0.152,0.848,0.9985,pos,2021-02-08
2021-02-09 08:14:16,UPDATE 1 Bitcoin powers to new high as Tesla takes it mainstream,0.0,0.385,0.615,0.9682,pos,2021-02-09
2021-02-08 18:14:16,EXPLAINER Elon Musk loves it So what s all the buzz about bitcoin,0.0,0.748,0.252,0.5719,pos,2021-02-08
2021-02-08 18:14:16,Explainer Elon Musk loves it So what s all the buzz about bitcoin,0.0,0.748,0.252,0.5719,pos,2021-02-08
2021-02-08 18:14:16,Explainer Elon Musk Loves It So What s All the Buzz About Bitcoin,0.0,0.748,0.252,0.5719,pos,2021-02-08
2021-02-08 14:14:16,Tesla buys 1 5 billion in bitcoin sending it to all time high,0.0,0.385,0.615,0.9682,pos,2021-02-08
2021-02-08 19:14:16,Tesla s Buying of Bitcoin Briefly Made Bitcoin More Valuable Than Tesla,0.0,0.385,0.615,0.9545,pos,2021-02-08
2021-02-09 04:14:16,The Subtle Wisdom of Tesla s Bitcoin Purchases,0.0,0.638,0.362,0.5267,pos,2021-02-09
2021-02-08 13:14:16,A Tesla for a bitcoin Musk drives up cryptocurrency price with 1 5 billion purchase,0.0,0.625,0.375,0.7906,pos,2021-02-08
2021-02-08 13:14:16,A Tesla for a bitcoin Musk drives up cryptocurrency price with 1 5 billion purchase,0.0,0.625,0.375,0.7906,pos,2021-02-08
2021-02-08 13:14:16,A Tesla for a bitcoin Musk drives up cryptocurrency price with 1 5 billion purchase,0.0,0.625,0.375,0.7906,pos,2021-02-08
2021-02-08 13:14:16,UPDATE 8 A Tesla for a bitcoin Musk drives up cryptocurrency price with 1 5 bln purchase,0.0,0.647,0.353,0.7906,pos,2021-02-08
2021-02-08 13:14:16,UPDATE 1 Bitcoin jumps 10 to record high on Tesla investment news,0.0,0.118,0.882,0.9982,pos,2021-02-08
2021-02-08 19:14:16,Tesla s Buying of Bitcoin Briefly Made Bitcoin More Valuable Than Tesla CoinDesk,0.0,0.41,0.59,0.9545,pos,2021-02-08
2021-02-09 01:14:16,Tesla s Bitcoin investment could be bad for the company s climate reputation and its bottom line,0.2,0.8,0.0,-0.5423,neg,2021-02-09
2021-02-08 18:14:16,Legendary investor Bill Miller has set up his flagship fund to buy into Grayscale Bitcoin Trust,0.0,0.549,0.451,0.8934,pos,2021-02-08
2021-02-09 04:14:16,The Subtle Wisdom of Tesla s Bitcoin Purchases National Review,0.0,0.702,0.298,0.5267,pos,2021-02-09
2021-02-08 17:14:16,Tesla buys 1 5 billion in bitcoin sending its price soaring,0.0,0.101,0.899,0.9985,pos,2021-02-08
2021-02-08 15:14:16,Tesla Buys 1 5 Billion in Bitcoin Sending Its Price Soaring,0.0,0.101,0.899,0.9985,pos,2021-02-08
2021-02-08 15:14:16,Tesla Buys 1 5 Billion in Bitcoin Sending Its Price Soaring,0.0,0.101,0.899,0.9985,pos,2021-02-08
2021-02-08 15:14:16,Tesla Buys 1 5 Billion in Bitcoin Sending Its Price Soaring,0.0,0.101,0.899,0.9985,pos,2021-02-08
2021-02-08 18:14:16,Tesla Buying Bitcoin Is Bullish for Both TSLA Stock BTC,0.0,0.114,0.886,0.9979,pos,2021-02-08
2021-02-08 17:14:16,Tesla buys 1 5 billion in bitcoin sending its price soaring,0.0,0.101,0.899,0.9985,pos,2021-02-08
2021-02-08 11:14:16,GameStop s Plunge Could Spill Over Into Bitcoin,0.931,0.069,0.0,-0.9988,neg,2021-02-08
2021-02-08 15:14:16,Tesla Buys 1 5 Billion in Bitcoin Sending Its Price Soaring,0.0,0.101,0.899,0.9985,pos,2021-02-08
2021-02-08 13:14:16,Tesla TSLA buys 1 5B in bitcoin pushing the crypto to all time high plans to accept as payment,0.0,0.462,0.538,0.9738,pos,2021-02-08
2021-02-08 15:14:16,Tesla Sends Bitcoin Mooning Past 44K as Snoop Wins dogebowl CoinDesk,0.0,0.73,0.27,0.5719,pos,2021-02-08
2021-02-08 21:14:16,Elon Musk s Latest Move Sends Bitcoin Soaring,0.0,0.078,0.922,0.9985,pos,2021-02-08
2021-02-09 09:46:16,A Tesla for a bitcoin Musk drives up cryptocurrency price with 1 5 billion purchase,0.0,0.625,0.375,0.7906,pos,2021-02-09
2021-02-08 13:14:16,Tesla buys 1 5 billion in bitcoin as Elon Musk jumps on board with cryptocurrency,0.0,0.19,0.81,0.997,pos,2021-02-08
2021-02-08 21:14:16,Square gains 10 as the payments company rides bitcoin s record breaking rise,0.0,0.192,0.808,0.9953,pos,2021-02-08
2021-02-08 18:14:16,Tesla buying 1 5 billion in bitcoin opens the company up to further scrutiny,0.0,0.37,0.63,0.9682,pos,2021-02-08
2021-02-08 13:14:16,Tesla Buys 1 5 Billion Worth of Bitcoin May Accept the Cryptocurrency as Payment in the Future,0.0,0.743,0.257,0.5423,pos,2021-02-08
2021-02-08 15:14:16,First Mover Tesla Sends Bitcoin Mooning Past 44K as Snoop Wins dogebowl,0.0,0.748,0.252,0.5719,pos,2021-02-08
2021-02-09 04:14:16,Financial experts Tesla buying Bitcoin is a game changer,0.0,0.389,0.611,0.9325,pos,2021-02-09
2021-02-09 05:14:16,Square Stock Hits All Time High As Tesla Purchase Sends Bitcoin Price Soaring,0.0,0.112,0.888,0.999,pos,2021-02-09
2021-02-08 12:14:16,Stock market news live updates Stocks rise to reach record highs Bitcoin prices spike,0.0,0.352,0.648,0.9819,pos,2021-02-08
2021-02-08 13:14:16,Tesla s stock swings up after bitcoin purchase disclosure and China regulator summons report,0.0,0.667,0.333,0.7906,pos,2021-02-08
2021-02-08 20:14:16,What is Dogecoin the joke crypto loved by Elon Musk and growing faster than Bitcoin,0.0,0.606,0.394,0.7783,pos,2021-02-08
2021-02-08 13:14:16,Tesla Sends Bitcoin Soaring With 1 5 Billion Investment Payment Promise,0.0,0.087,0.913,0.9985,pos,2021-02-08
2021-02-08 19:14:16,Riot Blockchain Appoints Bitcoin Veteran And Board Member Jason Lee As CEO,0.247,0.753,0.0,-0.5574,neg,2021-02-08
2021-02-08 23:14:16,Elon Musk s Tesla buys 1 1bn of bitcoin driving price to new high,0.0,0.407,0.593,0.9682,pos,2021-02-08
2021-02-08 14:02:00,Bitcoin jumps 10 to record high on Tesla investment news Reuters,0.0,0.118,0.882,0.9982,pos,2021-02-08
