publishedAt,clean_title,neg,neu,pos,compound,predicted_label,date
2021-02-07 11:41:44,Dogecoin s price jumped as high as 35 after Elon Musk tweeted Dogecoin to the Moooonn in a,0.0,0.484,0.516,0.9682,pos,2021-02-07
2021-02-06 18:41:44,Bitcoin Rally Takes Crypto Market Value to New Record,0.0,0.276,0.724,0.9732,pos,2021-02-06
2021-02-06 22:41:44,Bitcoin Tops 40k Mark Ether At All Time High Amid Crypto Markets Boom,0.0,0.363,0.637,0.9758,pos,2021-02-06
2021-02-06 13:41:44,Bitcoin eyes 50K less than a month after BTC price broke its 2017 all time high,0.088,0.409,0.503,0.9595,pos,2021-02-06
2021-02-06 14:41:44,Bitcoin mining is horrible for the environment Here s what we can do about it,0.212,0.788,0.0,-0.5423,neg,2021-02-06
2021-02-06 17:41:44,Bitcoin Reclaims 40K Mark Moving Closer To All Time High,0.0,0.36,0.64,0.9682,pos,2021-02-06
2021-02-06 17:41:44,Bitcoin Reclaims 40K Mark Moving Closer To All Time High,0.0,0.36,0.64,0.9682,pos,2021-02-06
2021-02-06 22:41:44,Bitcoin Tops 40k Mark Ether At All Time High Amid Crypto Markets Boom,0.0,0.363,0.637,0.9758,pos,2021-02-06
2021-02-06 16:41:44,Bill Miller s Flagship Fund May Now Buy GBTC to Gain Bitcoin Exposure of Up to 15,0.0,0.314,0.686,0.9886,pos,2021-02-06
2021-02-06 16:41:44,Bill Miller s Flagship Fund May Now Buy GBTC to Gain Bitcoin Exposure of Up to 15 CoinDesk,0.0,0.33,0.67,0.9886,pos,2021-02-06
2021-02-07 10:41:44,Bitcoin rally takes market cap of over 6 000 cryptocurrencies to whopping new high of 1 24 trillion,0.0,0.304,0.696,0.9918,pos,2021-02-07
2021-02-06 18:41:44,Serbian Man Extradited to US After Being Indicted In 70 Million Crypto Fraud CoinDesk,0.226,0.774,0.0,-0.5859,neg,2021-02-06
2021-02-06 18:41:44,Serbian Man Extradited to US After Being Indicted in 70M Crypto Fraud,0.257,0.743,0.0,-0.5859,neg,2021-02-06
2021-02-06 17:41:44,Ethereum Price Prediction ETH ready to rise to new highs following crucial rebound,0.0,0.183,0.817,0.9957,pos,2021-02-06
2021-02-06 15:41:44,Thinking of Selling Stock Ask Yourself These Questions First The Motley Fool,0.582,0.418,0.0,-0.9509,neg,2021-02-06
2021-02-06 14:41:44,9 great reads from CNET this week,0.0,0.549,0.451,0.6249,pos,2021-02-06
2021-02-06 13:41:44,Cybersecurity An Attackers Perspective Model Portfolio Channel,0.381,0.619,0.0,-0.5719,neg,2021-02-06
2021-02-06 14:41:44,New York Is Calling the Up and Comers,0.0,0.538,0.462,0.7906,pos,2021-02-06
2021-02-06 13:41:44,These are the top 10 US states where Dogecoin s popularity shot up after a group of Redditors,0.0,0.544,0.456,0.8979,pos,2021-02-06
2021-02-04 12:45:00,Learn About Bitcoin So You Can Intelligently Invest in Cryptocurrency,0.0,0.734,0.266,0.5046,pos,2021-02-04
2021-02-04 13:00:00,Forget Bitcoin Inside the insane world of altcoin cryptocurrency trading CNET,0.338,0.662,0.0,-0.5574,neg,2021-02-04
2021-02-05 13:00:53,Is earning Bitcoin with each swipe the credit card reward of the future These cards think so,0.0,0.704,0.296,0.743,pos,2021-02-05
2021-02-05 14:00:05,NewsWatch U S gains just 49 000 jobs in January Labor market still under acute stress,0.078,0.335,0.587,0.9781,pos,2021-02-05
